,State,Year,Quarter,Txn_type,No_of_txn,amount
30,andaman-&-nicobar-islands,2019,3,Recharge & bill payments,16219,8171737.705916681
31,andaman-&-nicobar-islands,2019,3,Peer-to-peer payments,13767,101079821.10344616
32,andaman-&-nicobar-islands,2019,3,Merchant payments,3519,4428734.574846684
33,andaman-&-nicobar-islands,2019,3,Financial Services,50,158857.94315586874
34,andaman-&-nicobar-islands,2019,3,Others,215,232624.75992853564
35,andaman-&-nicobar-islands,2019,4,Peer-to-peer payments,18128,121493224.30754511
36,andaman-&-nicobar-islands,2019,4,Recharge & bill payments,13851,9538690.916424634
37,andaman-&-nicobar-islands,2019,4,Merchant payments,2920,5247500.487902376
38,andaman-&-nicobar-islands,2019,4,Financial Services,60,295937.2110898865
39,andaman-&-nicobar-islands,2019,4,Others,200,263177.5944158883
40,andaman-&-nicobar-islands,2020,1,Peer-to-peer payments,18324,142332401.79234773
41,andaman-&-nicobar-islands,2020,1,Recharge & bill payments,18268,10850414.023977457
42,andaman-&-nicobar-islands,2020,1,Merchant payments,4424,7752871.558217709
43,andaman-&-nicobar-islands,2020,1,Financial Services,66,208231.73071652642
44,andaman-&-nicobar-islands,2020,1,Others,216,332393.19201521645
45,andaman-&-nicobar-islands,2020,2,Recharge & bill payments,38125,17659622.73418829
46,andaman-&-nicobar-islands,2020,2,Peer-to-peer payments,20303,141728757.73517442
47,andaman-&-nicobar-islands,2020,2,Merchant payments,4004,9236375.740471343
48,andaman-&-nicobar-islands,2020,2,Financial Services,175,706932.1397115812
49,andaman-&-nicobar-islands,2020,2,Others,355,313313.0646014327
50,andaman-&-nicobar-islands,2020,3,Recharge & bill payments,59310,24756220.875469353
51,andaman-&-nicobar-islands,2020,3,Peer-to-peer payments,40697,289078946.7312394
52,andaman-&-nicobar-islands,2020,3,Merchant payments,16096,22682992.238478824
53,andaman-&-nicobar-islands,2020,3,Financial Services,572,961836.7129860274
54,andaman-&-nicobar-islands,2020,3,Others,808,539449.7721868362
55,andaman-&-nicobar-islands,2020,4,Peer-to-peer payments,81439,533316526.1814983
56,andaman-&-nicobar-islands,2020,4,Recharge & bill payments,80811,33710030.534383245
57,andaman-&-nicobar-islands,2020,4,Merchant payments,59391,56867468.940003954
58,andaman-&-nicobar-islands,2020,4,Financial Services,965,1880546.9672370641
59,andaman-&-nicobar-islands,2020,4,Others,1925,1508083.6917299272
60,andaman-&-nicobar-islands,2021,1,Peer-to-peer payments,105458,665391395.715478
61,andaman-&-nicobar-islands,2021,1,Recharge & bill payments,84119,37160922.86506996
62,andaman-&-nicobar-islands,2021,1,Merchant payments,53090,78606979.05751458
63,andaman-&-nicobar-islands,2021,1,Financial Services,884,1469351.0852598653
64,andaman-&-nicobar-islands,2021,1,Others,1201,1077918.666433228
65,andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,132772,748382044.7707307
66,andaman-&-nicobar-islands,2021,2,Recharge & bill payments,120911,43691961.26275121
67,andaman-&-nicobar-islands,2021,2,Merchant payments,85143,103707408.50908463
68,andaman-&-nicobar-islands,2021,2,Financial Services,960,2038521.5136710338
69,andaman-&-nicobar-islands,2021,2,Others,1628,1327080.0560584562
70,andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,192321,1077787837.1562996
71,andaman-&-nicobar-islands,2021,3,Recharge & bill payments,136010,51243450.85925055
72,andaman-&-nicobar-islands,2021,3,Merchant payments,118340,176991328.21761328
73,andaman-&-nicobar-islands,2021,3,Financial Services,990,2351013.441729573
74,andaman-&-nicobar-islands,2021,3,Others,2103,1650766.1267105162
75,andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,1544932663.2744582
76,andaman-&-nicobar-islands,2021,4,Merchant payments,210164,322842314.62433755
77,andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,59243518.11464358
78,andaman-&-nicobar-islands,2021,4,Financial Services,1718,3137965.167474068
79,andaman-&-nicobar-islands,2021,4,Others,2855,2453640.142743944
80,andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,1682328505.7254477
81,andaman-&-nicobar-islands,2022,1,Merchant payments,284298,370091558.68373305
82,andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,71300133.66101266
83,andaman-&-nicobar-islands,2022,1,Financial Services,1757,2869682.0229511866
84,andaman-&-nicobar-islands,2022,1,Others,2643,2440321.9820225406
85,andaman-&-nicobar-islands,2022,2,Merchant payments,449540,510838980.9061847
86,andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,2088309073.4552848
87,andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,82232936.61795366
88,andaman-&-nicobar-islands,2022,2,Financial Services,1448,2089862.3927160464
89,andaman-&-nicobar-islands,2022,2,Others,3108,2449496.7081265687
90,andaman-&-nicobar-islands,2022,3,Merchant payments,716105,693438186.296541
91,andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,622217,2514535154.56483
92,andaman-&-nicobar-islands,2022,3,Recharge & bill payments,240766,97748065.62714244
93,andaman-&-nicobar-islands,2022,3,Financial Services,1814,2166304.9779766416
94,andaman-&-nicobar-islands,2022,3,Others,3477,2744060.670897343
95,andaman-&-nicobar-islands,2022,4,Merchant payments,956536,906365300.6585041
96,andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,768758,2961630584.8271313
97,andaman-&-nicobar-islands,2022,4,Recharge & bill payments,256050,110037119.66941178
98,andaman-&-nicobar-islands,2022,4,Financial Services,2499,3533987.2301130476
99,andaman-&-nicobar-islands,2022,4,Others,3692,3107412.043626394
100,andaman-&-nicobar-islands,2023,1,Merchant payments,1122063,1008821751.0
101,andaman-&-nicobar-islands,2023,1,Peer-to-peer payments,862347,3299762230.0
102,andaman-&-nicobar-islands,2023,1,Recharge & bill payments,286024,146338470.0
103,andaman-&-nicobar-islands,2023,1,Financial Services,2515,3556954.0
104,andaman-&-nicobar-islands,2023,1,Others,3443,3049182.0
105,andaman-&-nicobar-islands,2023,2,Merchant payments,1410653,1159905474.0
106,andaman-&-nicobar-islands,2023,2,Peer-to-peer payments,970525,3664415887.0
107,andaman-&-nicobar-islands,2023,2,Recharge & bill payments,320922,158455723.0
108,andaman-&-nicobar-islands,2023,2,Financial Services,2158,4161814.0
109,andaman-&-nicobar-islands,2023,2,Others,3517,3405338.0
110,andhra-pradesh,2018,1,Recharge & bill payments,5027448,892293975.6698562
111,andhra-pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.178782
112,andhra-pradesh,2018,1,Merchant payments,362672,247297640.24000686
113,andhra-pradesh,2018,1,Financial Services,204305,44808449.7639544
114,andhra-pradesh,2018,1,Others,395514,287626042.970705
115,andhra-pradesh,2018,2,Recharge & bill payments,6456387,1598591488.4880352
116,andhra-pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.8953
117,andhra-pradesh,2018,2,Merchant payments,604847,436785223.86032957
118,andhra-pradesh,2018,2,Financial Services,225621,68952114.81374599
119,andhra-pradesh,2018,2,Others,322063,328092346.575651
120,andhra-pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.668724
121,andhra-pradesh,2018,3,Recharge & bill payments,7542005,1949098146.8941927
122,andhra-pradesh,2018,3,Merchant payments,1225416,685277254.5076212
123,andhra-pradesh,2018,3,Financial Services,380324,60790077.57437308
124,andhra-pradesh,2018,3,Others,348725,284248675.5700202
125,andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.13608
126,andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418164314.470957
127,andhra-pradesh,2018,4,Merchant payments,2622131,1671585888.568256
128,andhra-pradesh,2018,4,Financial Services,400837,57178116.40322068
129,andhra-pradesh,2018,4,Others,389411,315211361.26249415
130,andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.2595
131,andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480641602.3771377
132,andhra-pradesh,2019,1,Merchant payments,5043682,2423536770.3706346
133,andhra-pradesh,2019,1,Financial Services,416325,47150177.52982048
134,andhra-pradesh,2019,1,Others,361263,284937624.5393019
135,andhra-pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.47021
136,andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708345387.9101095
137,andhra-pradesh,2019,2,Merchant payments,9226537,4613405202.681959
138,andhra-pradesh,2019,2,Financial Services,145310,26626696.771042537
139,andhra-pradesh,2019,2,Others,448802,361492238.3966455
140,andhra-pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.51532
141,andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893984676.598906
142,andhra-pradesh,2019,3,Merchant payments,16581787,7887394038.066369
143,andhra-pradesh,2019,3,Financial Services,122270,29778183.027080443
144,andhra-pradesh,2019,3,Others,413437,298142027.58625776
145,andhra-pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.68753
146,andhra-pradesh,2019,4,Merchant payments,25122370,13476303367.50486
147,andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335168605.691999
148,andhra-pradesh,2019,4,Financial Services,105662,26796571.745749153
149,andhra-pradesh,2019,4,Others,338672,216496893.16102877
150,andhra-pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.04755
151,andhra-pradesh,2020,1,Merchant payments,31408022,18603161784.496994
152,andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813530777.973532
153,andhra-pradesh,2020,1,Financial Services,75238,43739133.169823855
154,andhra-pradesh,2020,1,Others,292310,188228538.37489766
155,andhra-pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907
156,andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573467
157,andhra-pradesh,2020,2,Merchant payments,29976765,22625596525.44269
158,andhra-pradesh,2020,2,Financial Services,140941,145274999.15679634
159,andhra-pradesh,2020,2,Others,176241,90087654.60009979
160,andhra-pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.32056
161,andhra-pradesh,2020,3,Merchant payments,54055557,40739580213.86052
162,andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475104674.827175
163,andhra-pradesh,2020,3,Financial Services,243088,256074924.7187529
164,andhra-pradesh,2020,3,Others,312329,151582519.18136686
165,andhra-pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7708
166,andhra-pradesh,2020,4,Merchant payments,86581460,66654048149.95168
167,andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936337211.557747
168,andhra-pradesh,2020,4,Financial Services,265470,305168772.45601684
169,andhra-pradesh,2020,4,Others,457527,306853355.59473807
170,andhra-pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018
171,andhra-pradesh,2021,1,Merchant payments,97920281,70813192713.43477
172,andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14482
173,andhra-pradesh,2021,1,Financial Services,225355,270313028.48452014
174,andhra-pradesh,2021,1,Others,347907,272546457.5502677
175,andhra-pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439
176,andhra-pradesh,2021,2,Merchant payments,112875274,88512429436.91248
177,andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106976
178,andhra-pradesh,2021,2,Financial Services,243237,265483044.40124667
179,andhra-pradesh,2021,2,Others,406842,308302224.3856007
180,andhra-pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307
181,andhra-pradesh,2021,3,Merchant payments,158290953,118164377968.16754
182,andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361
183,andhra-pradesh,2021,3,Financial Services,211171,297239697.83073866
184,andhra-pradesh,2021,3,Others,547759,403948275.56756073
185,andhra-pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1282
186,andhra-pradesh,2021,4,Merchant payments,207538904,152883933596.5386
187,andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784713.985794
188,andhra-pradesh,2021,4,Financial Services,243951,332740108.6635881
189,andhra-pradesh,2021,4,Others,701856,545223415.6638832
190,andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.4781
191,andhra-pradesh,2022,1,Merchant payments,242031836,169419685917.19562
192,andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001
193,andhra-pradesh,2022,1,Financial Services,231651,324358965.11859065
194,andhra-pradesh,2022,1,Others,627694,474382234.25397474
195,andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.7114
196,andhra-pradesh,2022,2,Merchant payments,292530048,205433660654.20898
197,andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145
198,andhra-pradesh,2022,2,Financial Services,192751,245783011.04455262
199,andhra-pradesh,2022,2,Others,441925,357036084.9071137
200,andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.7397
201,andhra-pradesh,2022,3,Merchant payments,291033653,202910820650.0824
202,andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322
203,andhra-pradesh,2022,3,Financial Services,187190,239347241.54655045
204,andhra-pradesh,2022,3,Others,362484,323951101.5715289
205,andhra-pradesh,2022,4,Merchant payments,321632104,211898851397.09848
206,andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.0112
207,andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902
208,andhra-pradesh,2022,4,Financial Services,206459,250596592.06465048
209,andhra-pradesh,2022,4,Others,345658,339211363.0027188
210,andhra-pradesh,2023,1,Merchant payments,540680395,311606731877.0
211,andhra-pradesh,2023,1,Peer-to-peer payments,514931308,1857818168755.0
212,andhra-pradesh,2023,1,Recharge & bill payments,89143939,78817989795.0
213,andhra-pradesh,2023,1,Financial Services,288150,331233097.0
214,andhra-pradesh,2023,1,Others,488672,477193006.0
215,andhra-pradesh,2023,2,Merchant payments,634303064,349602824539.0
216,andhra-pradesh,2023,2,Peer-to-peer payments,573455382,2067288068882.0
217,andhra-pradesh,2023,2,Recharge & bill payments,97202487,88352183038.0
218,andhra-pradesh,2023,2,Financial Services,316533,386071375.0
219,andhra-pradesh,2023,2,Others,379498,409939082.0
220,arunachal-pradesh,2018,1,Recharge & bill payments,28729,5184132.514934338
221,arunachal-pradesh,2018,1,Peer-to-peer payments,13320,82889682.72418305
222,arunachal-pradesh,2018,1,Merchant payments,1042,2420374.1905855755
223,arunachal-pradesh,2018,1,Financial Services,416,58893.76201533088
224,arunachal-pradesh,2018,1,Others,1990,1834252.8176908877
225,arunachal-pradesh,2018,2,Recharge & bill payments,50700,10468878.537107183
226,arunachal-pradesh,2018,2,Peer-to-peer payments,26477,181576281.19464755
227,arunachal-pradesh,2018,2,Merchant payments,2378,4718953.439561011
228,arunachal-pradesh,2018,2,Financial Services,559,363761.80159549194
229,arunachal-pradesh,2018,2,Others,2043,1842317.3691352482
230,arunachal-pradesh,2018,3,Recharge & bill payments,74122,15997565.906016497
231,arunachal-pradesh,2018,3,Peer-to-peer payments,49740,308106303.45342577
232,arunachal-pradesh,2018,3,Merchant payments,4738,5505694.567913429
233,arunachal-pradesh,2018,3,Financial Services,507,72133.845254878
234,arunachal-pradesh,2018,3,Others,2039,2044708.9687807972
235,arunachal-pradesh,2018,4,Recharge & bill payments,97751,20662691.882313278
236,arunachal-pradesh,2018,4,Peer-to-peer payments,68169,468831493.2328036
237,arunachal-pradesh,2018,4,Merchant payments,7726,11998974.1040326
238,arunachal-pradesh,2018,4,Financial Services,561,100597.90379906222
239,arunachal-pradesh,2018,4,Others,2222,2446271.9688117937
240,arunachal-pradesh,2019,1,Recharge & bill payments,121303,26796894.998233315
241,arunachal-pradesh,2019,1,Peer-to-peer payments,93494,568554821.4456317
242,arunachal-pradesh,2019,1,Merchant payments,9214,11727218.401334248
243,arunachal-pradesh,2019,1,Financial Services,256,140622.87093631705
244,arunachal-pradesh,2019,1,Others,2239,2730548.5978140826
245,arunachal-pradesh,2019,2,Recharge & bill payments,131988,30420803.41271234
246,arunachal-pradesh,2019,2,Peer-to-peer payments,106527,704237943.4054435
247,arunachal-pradesh,2019,2,Merchant payments,16828,13955724.130712911
248,arunachal-pradesh,2019,2,Financial Services,267,160660.8821362781
249,arunachal-pradesh,2019,2,Others,3046,3880742.524023137
250,arunachal-pradesh,2019,3,Recharge & bill payments,216228,50946104.94289842
251,arunachal-pradesh,2019,3,Peer-to-peer payments,133484,841037395.2474606
252,arunachal-pradesh,2019,3,Merchant payments,16900,17178248.07427002
253,arunachal-pradesh,2019,3,Financial Services,864,64089.11350267195
254,arunachal-pradesh,2019,3,Others,2758,3419197.4177385764
255,arunachal-pradesh,2019,4,Recharge & bill payments,259183,63516906.09060433
256,arunachal-pradesh,2019,4,Peer-to-peer payments,177833,1100137447.9340453
257,arunachal-pradesh,2019,4,Merchant payments,19769,23192271.691576812
258,arunachal-pradesh,2019,4,Financial Services,314,305379.7987782319
259,arunachal-pradesh,2019,4,Others,2376,3421174.01227797
260,arunachal-pradesh,2020,1,Recharge & bill payments,329834,86011654.77474582
261,arunachal-pradesh,2020,1,Peer-to-peer payments,203429,1263912288.4066367
262,arunachal-pradesh,2020,1,Merchant payments,31181,28553052.133918796
263,arunachal-pradesh,2020,1,Financial Services,470,337812.94816169393
264,arunachal-pradesh,2020,1,Others,2261,2943873.0666838237
265,arunachal-pradesh,2020,2,Recharge & bill payments,522495,145198528.22961134
266,arunachal-pradesh,2020,2,Peer-to-peer payments,247861,1630654426.0441835
267,arunachal-pradesh,2020,2,Merchant payments,35169,46446966.612447515
268,arunachal-pradesh,2020,2,Financial Services,1310,2655507.6964110374
269,arunachal-pradesh,2020,2,Others,1939,1761404.4023099935
270,arunachal-pradesh,2020,3,Recharge & bill payments,514907,153463816.21184397
271,arunachal-pradesh,2020,3,Peer-to-peer payments,370418,2361603431.37578
272,arunachal-pradesh,2020,3,Merchant payments,72736,88145178.69272713
273,arunachal-pradesh,2020,3,Financial Services,1761,4030599.9171272423
274,arunachal-pradesh,2020,3,Others,3005,2695539.3607389224
275,arunachal-pradesh,2020,4,Peer-to-peer payments,522019,3254744938.4105625
276,arunachal-pradesh,2020,4,Recharge & bill payments,513895,152389181.21743062
277,arunachal-pradesh,2020,4,Merchant payments,167387,156682926.02384603
278,arunachal-pradesh,2020,4,Financial Services,1749,2391651.8783250954
279,arunachal-pradesh,2020,4,Others,4079,4055324.315454754
280,arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460488558.9436507
281,arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358376.9003836
282,arunachal-pradesh,2021,1,Merchant payments,155966,204958020.0891498
283,arunachal-pradesh,2021,1,Financial Services,1558,2672460.4740365944
284,arunachal-pradesh,2021,1,Others,3074,3301662.6094231335
285,arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960152.0755496
286,arunachal-pradesh,2021,2,Recharge & bill payments,556680,165579844.25105897
287,arunachal-pradesh,2021,2,Merchant payments,243375,283709438.5363142
288,arunachal-pradesh,2021,2,Financial Services,1582,2761076.7934988844
289,arunachal-pradesh,2021,2,Others,3755,3415105.3379601175
290,arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033603845.032885
291,arunachal-pradesh,2021,3,Recharge & bill payments,600102,187390578.30403775
292,arunachal-pradesh,2021,3,Merchant payments,314658,449869060.7842621
293,arunachal-pradesh,2021,3,Financial Services,1934,3348547.8272713376
294,arunachal-pradesh,2021,3,Others,4185,3912143.3503634185
295,arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022733378.120082
296,arunachal-pradesh,2021,4,Recharge & bill payments,633248,207784816.33218512
297,arunachal-pradesh,2021,4,Merchant payments,521447,704195694.9939187
298,arunachal-pradesh,2021,4,Financial Services,2386,3933557.2795471298
299,arunachal-pradesh,2021,4,Others,5901,4862905.885615055
300,arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,6670641250.45945
301,arunachal-pradesh,2022,1,Merchant payments,720803,917155358.7177179
302,arunachal-pradesh,2022,1,Recharge & bill payments,670576,231933129.00412333
303,arunachal-pradesh,2022,1,Financial Services,3053,3359625.792926075
304,arunachal-pradesh,2022,1,Others,6052,5002264.113148138
305,arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,7627061474.687715
306,arunachal-pradesh,2022,2,Merchant payments,1108353,1255513517.3639429
307,arunachal-pradesh,2022,2,Recharge & bill payments,688770,241162643.19480157
308,arunachal-pradesh,2022,2,Financial Services,2466,4063469.0998270046
309,arunachal-pradesh,2022,2,Others,5768,3864269.879579009
310,arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,7365427284.274204
311,arunachal-pradesh,2022,3,Merchant payments,1316326,1413247143.4889917
312,arunachal-pradesh,2022,3,Recharge & bill payments,649322,238448083.80779752
313,arunachal-pradesh,2022,3,Financial Services,1997,4763324.776043448
314,arunachal-pradesh,2022,3,Others,4687,3224948.7015704075
315,arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,7768088687.67791
316,arunachal-pradesh,2022,4,Merchant payments,1704968,1669602212.9174638
317,arunachal-pradesh,2022,4,Recharge & bill payments,669151,239412553.61214688
318,arunachal-pradesh,2022,4,Financial Services,2617,3785469.3993366556
319,arunachal-pradesh,2022,4,Others,4838,4020773.8953960314
320,arunachal-pradesh,2023,1,Peer-to-peer payments,3879583,13170741327.0
321,arunachal-pradesh,2023,1,Merchant payments,2922784,2802762028.0
322,arunachal-pradesh,2023,1,Recharge & bill payments,1229475,409663161.0
323,arunachal-pradesh,2023,1,Financial Services,4142,6310412.0
324,arunachal-pradesh,2023,1,Others,6841,5101526.0
325,arunachal-pradesh,2023,2,Peer-to-peer payments,4883817,15695323405.0
326,arunachal-pradesh,2023,2,Merchant payments,4091876,3651614280.0
327,arunachal-pradesh,2023,2,Recharge & bill payments,1374689,447452168.0
328,arunachal-pradesh,2023,2,Financial Services,3392,5815474.0
329,arunachal-pradesh,2023,2,Others,6714,5493337.0
330,assam,2018,1,Recharge & bill payments,632092,93491181.14056379
331,assam,2018,1,Peer-to-peer payments,318025,993525195.9818655
332,assam,2018,1,Merchant payments,40482,34501622.89266755
333,assam,2018,1,Financial Services,18172,4936862.200688562
334,assam,2018,1,Others,48110,31349593.99668264
335,assam,2018,2,Recharge & bill payments,984160,174427478.21340805
336,assam,2018,2,Peer-to-peer payments,530781,2064314053.1339972
337,assam,2018,2,Merchant payments,79307,73366344.80739225
338,assam,2018,2,Financial Services,22773,7051504.657611102
339,assam,2018,2,Others,46852,31425754.725386057
340,assam,2018,3,Recharge & bill payments,1275136,254569069.32411742
341,assam,2018,3,Peer-to-peer payments,843571,3424136709.5088205
342,assam,2018,3,Merchant payments,159532,96783839.37466942
343,assam,2018,3,Financial Services,22677,4741123.821880115
344,assam,2018,3,Others,50935,30904247.884785894
345,assam,2018,4,Recharge & bill payments,1703488,317661277.3470997
346,assam,2018,4,Peer-to-peer payments,1279089,5284776455.070784
347,assam,2018,4,Merchant payments,667293,240563395.2777939
348,assam,2018,4,Financial Services,28035,6331912.52655252
349,assam,2018,4,Others,56267,38689818.79087821
350,assam,2019,1,Recharge & bill payments,1993220,400281677.94382846
351,assam,2019,1,Peer-to-peer payments,1976310,7291433300.700247
352,assam,2019,1,Merchant payments,494871,266644645.74929428
353,assam,2019,1,Financial Services,20162,4612454.1127945455
354,assam,2019,1,Others,48442,39127457.944687635
355,assam,2019,2,Recharge & bill payments,2512932,539315772.8606573
356,assam,2019,2,Peer-to-peer payments,2293770,10035232820.852964
357,assam,2019,2,Merchant payments,573646,326844709.5879724
358,assam,2019,2,Financial Services,13654,4037222.414240564
359,assam,2019,2,Others,60927,49538663.41037582
360,assam,2019,3,Peer-to-peer payments,2713539,11835800855.176552
361,assam,2019,3,Recharge & bill payments,2645302,639885372.7480905
362,assam,2019,3,Merchant payments,513728,421380275.4207429
363,assam,2019,3,Financial Services,8606,6403456.344768786
364,assam,2019,3,Others,61396,46973660.73634353
365,assam,2019,4,Peer-to-peer payments,3222143,14083346879.361855
366,assam,2019,4,Recharge & bill payments,2937800,704118873.972094
367,assam,2019,4,Merchant payments,544053,456318130.082201
368,assam,2019,4,Financial Services,9621,3492255.0860687294
369,assam,2019,4,Others,46893,34707757.009855896
370,assam,2020,1,Peer-to-peer payments,4058740,18977446151.768826
371,assam,2020,1,Recharge & bill payments,3897975,971722606.1579468
372,assam,2020,1,Merchant payments,792646,675423852.9512749
373,assam,2020,1,Financial Services,10173,7054325.507515656
374,assam,2020,1,Others,49326,36781411.34368035
375,assam,2020,2,Recharge & bill payments,6045321,1612522828.7163475
376,assam,2020,2,Peer-to-peer payments,3648386,17358374071.26616
377,assam,2020,2,Merchant payments,742400,749018053.2400584
378,assam,2020,2,Financial Services,19814,18130004.687672265
379,assam,2020,2,Others,49278,28255168.009208795
380,assam,2020,3,Peer-to-peer payments,5637893,26646565777.43919
381,assam,2020,3,Recharge & bill payments,5292154,1627282415.9451878
382,assam,2020,3,Merchant payments,1383230,1492484153.3873158
383,assam,2020,3,Financial Services,24954,28452966.026372254
384,assam,2020,3,Others,59480,36605946.74600269
385,assam,2020,4,Peer-to-peer payments,7538478,36013292450.814384
386,assam,2020,4,Recharge & bill payments,5383505,1662189124.4177454
387,assam,2020,4,Merchant payments,2392184,2466913305.59039
388,assam,2020,4,Financial Services,29764,32314809.975261033
389,assam,2020,4,Others,79523,51901628.46643049
390,assam,2021,1,Peer-to-peer payments,9449096,45476079487.10464
391,assam,2021,1,Recharge & bill payments,6494111,2103017761.546533
392,assam,2021,1,Merchant payments,3459132,3657261586.2001615
393,assam,2021,1,Financial Services,34049,41291047.3832124
394,assam,2021,1,Others,75672,48814663.88782827
